"name","Control","PD","Category","FoldChange","Difference"
"CLDN",0,0.133424018477516,"PD-specific",NA,0.1334
"NCAM",0,0.0925346749666942,"PD-specific",NA,0.0925
"FGF",0.0670029058401011,0.077289069750496,"PD-enriched",1.15,0.0103
"CDH",0.0135031553500413,0.0332163520439522,"PD-enriched",2.46,0.0197
"EPHA",0.013067563619062,0.0142422345606886,"PD-enriched",1.09,0.0012
"CADM",0.00807742683986731,0,"Control-specific",0,-0.0081
